character,unicode,svg,advance_width,x_min,y_min,x_max,y_max,design,source_components
α,U+03B1,svg/greek-small-letter-alpha-u03b1.svg,640,41.72,1.389,629.5,527.512,Looping alpha with a crossed right exit.,"a, o"
β,U+03B2,svg/greek-small-letter-beta-u03b2.svg,590,73.942,-261.0,558.021,737.966,"Tall beta, two bowls, descending stem.","B, p"
γ,U+03B3,svg/greek-small-letter-gamma-u03b3.svg,610,41.0,-254.0,566.0,503.0,Open-fork gamma with descender.,y
δ,U+03B4,svg/greek-small-letter-delta-u03b4.svg,610,60.072,-6.236,545.164,758.944,Delta bowl with curled ascender.,"o, partialdiff"
ε,U+03B5,svg/greek-small-letter-epsilon-u03b5.svg,570,62.569,1.621,518.0,509.139,Open two-lobed epsilon.,e
ζ,U+03B6,svg/greek-small-letter-zeta-u03b6.svg,565,60.679,-253.0,519.0,735.0,Zeta with descending terminal loop.,"z, g"
η,U+03B7,svg/greek-small-letter-eta-u03b7.svg,595,62.5,-255.0,531.0,512.543,Eta arch with descending right stem.,n
θ,U+03B8,svg/greek-small-letter-theta-u03b8.svg,600,62.098,-10.942,537.159,711.675,Narrow oval theta with interior crossbar.,"O, o"
ι,U+03B9,svg/greek-small-letter-iota-u03b9.svg,291,82.0,-11.0,208.0,504.0,Native dotless i outline reused for iota.,dotlessi
κ,U+03BA,svg/greek-small-letter-kappa-u03ba.svg,585,66.313,-7.5,547.5,501.5,X-height kappa with open arms.,k
λ,U+03BB,svg/greek-small-letter-lamda-u03bb.svg,610,59.0,-5.0,559.0,739.0,Lambda with curved ascending lead-in.,"A, y"
μ,U+03BC,svg/greek-small-letter-mu-u03bc.svg,650,64.0,-263.0,617.0,501.0,Mu with left descender and rounded u bowl.,"u, p"
ν,U+03BD,svg/greek-small-letter-nu-u03bd.svg,573,30.0,-10.0,545.0,507.0,Native handwritten v outline reused for nu.,v
ξ,U+03BE,svg/greek-small-letter-xi-u03be.svg,570,84.174,-250.0,520.0,750.387,Xi with three curved levels and descender.,"e, z"
ο,U+03BF,svg/greek-small-letter-omicron-u03bf.svg,621,51.0,-12.0,569.0,503.0,Native o reused for omicron.,o
ρ,U+03C1,svg/greek-small-letter-rho-u03c1.svg,574,46.833,-261.0,529.0,508.0,Native p reused for upright rho.,p
σ,U+03C3,svg/greek-small-letter-sigma-u03c3.svg,640,55.115,-5.192,609.0,505.409,Sigma bowl with projecting upper arm.,"o, pi"
τ,U+03C4,svg/greek-small-letter-tau-u03c4.svg,610,31.5,-3.989,581.5,505.5,Tau with pi-like top and curved foot.,"pi, t"
υ,U+03C5,svg/greek-small-letter-upsilon-u03c5.svg,597,58.0,-10.0,536.0,500.0,Native rounded u outline reused for upright upsilon.,u
φ,U+03C6,svg/greek-small-letter-phi-u03c6.svg,640,55.756,-262.0,585.94,552.0,"Open-top looped phi, distinct from straight-stem phi symbol.","o, f"
χ,U+03C7,svg/greek-small-letter-chi-u03c7.svg,610,69.0,-256.0,540.0,510.0,Crossing chi with descenders.,x
ψ,U+03C8,svg/greek-small-letter-psi-u03c8.svg,615,61.503,-262.5,552.119,596.5,Psi bowl with descending central stem.,u
ω,U+03C9,svg/greek-small-letter-omega-u03c9.svg,690,46.824,-5.395,629.944,502.5,Rounded double-bowl omega.,"w, u"
Γ,U+0393,svg/greek-capital-letter-gamma-u0393.svg,650,71.836,-3.0,610.0,718.0,Gamma with rounded corner.,"L, E"
Δ,U+0394,svg/greek-capital-letter-delta-u0394.svg,740,57.0,-9.118,682.0,708.0,Triangular delta with asymmetric sides.,A
Θ,U+0398,svg/greek-capital-letter-theta-u0398.svg,727,54.0,-10.0,672.0,711.0,Native capital O plus internal bar.,O
Λ,U+039B,svg/greek-capital-letter-lamda-u039b.svg,735,41.5,-8.5,690.5,711.5,Capital lambda with native A proportions.,A
Ξ,U+039E,svg/greek-capital-letter-xi-u039e.svg,680,57.5,-6.5,626.5,719.0,"Three-bar xi, shorter middle bar.",E
Π,U+03A0,svg/greek-capital-letter-pi-u03a0.svg,700,34.5,-7.5,662.5,719.5,Capital pi without product descenders.,product
Σ,U+03A3,svg/greek-capital-letter-sigma-u03a3.svg,700,65.0,-10.0,625.0,710.0,Native summation adapted to cap height.,summation
Υ,U+03A5,svg/greek-capital-letter-upsilon-u03a5.svg,609,19.0,-15.0,594.0,713.0,Native Y reused for capital upsilon.,Y
Φ,U+03A6,svg/greek-capital-letter-phi-u03a6.svg,710,57.829,-11.5,646.207,723.5,Capital phi with centered vertical stem.,O
Ψ,U+03A8,svg/greek-capital-letter-psi-u03a8.svg,700,65.135,-13.5,618.863,712.5,Capital psi with raised bowl.,"U, Y"
ϵ,U+03F5,svg/greek-lunate-epsilon-symbol-u03f5.svg,590,73.259,-3.994,539.5,505.368,Lunate epsilon: C-shaped bowl and middle bar.,"C, e"
ϑ,U+03D1,svg/greek-theta-symbol-u03d1.svg,585,62.854,-4.642,521.537,742.826,Script theta with upper loop and lower bowl.,"o, partialdiff"
ϰ,U+03F0,svg/greek-kappa-symbol-u03f0.svg,615,82.5,-3.601,578.5,497.5,Curved kappa variant with sweeping lower arm.,k
ϕ,U+03D5,svg/greek-phi-symbol-u03d5.svg,620,56.027,-263.5,560.172,740.5,"Straight-stem phi symbol, closed bowl, ascender and descender.",o
